PERMNO,date,TICKER,COMNAM,CUSIP,PRC,RET,SHROUT,vwretd,ewretd
92585,06/10/2015,ACWI,ISHARES TRUST,46428825,61.56000,0.014837,105800,0.011523,0.009202
92585,06/11/2015,ACWI,ISHARES TRUST,46428825,61.74000,0.002924,105800,0.001896,0.000957
92585,06/12/2015,ACWI,ISHARES TRUST,46428825,61.31000,-0.006965,105800,-0.006174,-0.001982
92585,06/15/2015,ACWI,ISHARES TRUST,46428825,60.99000,-0.005219,105800,-0.004044,-0.002190
92585,06/16/2015,ACWI,ISHARES TRUST,46428825,61.14000,0.002459,105800,0.004949,0.002473
92585,06/17/2015,ACWI,ISHARES TRUST,46428825,61.18000,0.000654,105800,0.001727,0.000427
92585,06/18/2015,ACWI,ISHARES TRUST,46428825,61.79000,0.009971,105800,0.009281,0.006353
92585,06/19/2015,ACWI,ISHARES TRUST,46428825,61.42000,-0.005988,105800,-0.004861,-0.003153
92585,06/22/2015,ACWI,ISHARES TRUST,46428825,62.16000,0.012048,106600,0.005840,0.005036
92585,06/23/2015,ACWI,ISHARES TRUST,46428825,62.30000,0.002252,106600,0.001286,0.002623
92585,06/24/2015,ACWI,ISHARES TRUST,46428825,61.86000,-0.007063,108600,-0.007406,-0.006447
92585,06/25/2015,ACWI,ISHARES TRUST,46428825,60.96000,-0.002942,108600,-0.002663,-0.002804
92585,06/26/2015,ACWI,ISHARES TRUST,46428825,60.90000,-0.000984,108600,-0.000824,-0.004221
92585,06/29/2015,ACWI,ISHARES TRUST,46428825,59.35000,-0.025452,108600,-0.021494,-0.020714
92585,06/30/2015,ACWI,ISHARES TRUST,46428825,59.45000,0.001685,106400,0.002971,0.004032
92585,07/01/2015,ACWI,ISHARES TRUST,46428825,59.81000,0.006056,106400,0.005467,-0.000112
92585,07/02/2015,ACWI,ISHARES TRUST,46428825,59.85000,0.000669,106400,-0.000551,-0.002091
92585,07/06/2015,ACWI,ISHARES TRUST,46428825,59.14000,-0.011863,106400,-0.004513,-0.006921
92585,07/07/2015,ACWI,ISHARES TRUST,46428825,59.20000,0.001015,106400,0.004984,-0.002197
92585,07/08/2015,ACWI,ISHARES TRUST,46428825,58.00000,-0.020270,106400,-0.016503,-0.016733
92585,07/09/2015,ACWI,ISHARES TRUST,46428825,58.48000,0.008276,106400,0.002745,0.006799
92585,07/10/2015,ACWI,ISHARES TRUST,46428825,59.72000,0.021204,106400,0.012668,0.011926
92585,07/13/2015,ACWI,ISHARES TRUST,46428825,60.18000,0.007703,106400,0.010241,0.007892
92585,07/14/2015,ACWI,ISHARES TRUST,46428825,60.55000,0.006148,106400,0.004718,0.004574
92585,07/15/2015,ACWI,ISHARES TRUST,46428825,60.39000,-0.002642,106400,-0.002476,-0.006612
92585,07/16/2015,ACWI,ISHARES TRUST,46428825,60.83000,0.007286,106400,0.006966,0.004368
92585,07/17/2015,ACWI,ISHARES TRUST,46428825,60.79000,-0.000658,106400,-0.000622,-0.004242
92585,07/20/2015,ACWI,ISHARES TRUST,46428825,60.80000,0.000164,106400,-0.001220,-0.009278
92585,07/21/2015,ACWI,ISHARES TRUST,46428825,60.65000,-0.002467,106400,-0.004060,-0.001764
92585,07/22/2015,ACWI,ISHARES TRUST,46428825,60.32000,-0.005441,107800,-0.002374,-0.003048
92585,07/23/2015,ACWI,ISHARES TRUST,46428825,60.02000,-0.004973,107800,-0.005443,-0.006041
92585,07/24/2015,ACWI,ISHARES TRUST,46428825,59.38000,-0.010663,107800,-0.010020,-0.010385
92585,07/27/2015,ACWI,ISHARES TRUST,46428825,58.83000,-0.009262,107800,-0.007083,-0.009780
92585,07/28/2015,ACWI,ISHARES TRUST,46428825,59.53000,0.011899,109600,0.012249,0.007973
92585,07/29/2015,ACWI,ISHARES TRUST,46428825,59.90000,0.006215,108600,0.007572,0.006654
92585,07/30/2015,ACWI,ISHARES TRUST,46428825,59.86000,-0.000668,108600,0.000786,-0.000559
