PERMNO,date,TICKER,COMNAM,CUSIP,HSICIG,PRC,RET,SHROUT,vwretd,ewretd
84398,31/10/2008,SPY,SPDR TRUST,78462F10,,96.83000,-0.165187,813326,-0.184621,-0.205222
84398,28/11/2008,SPY,SPDR TRUST,78462F10,,90.09000,-0.069607,836968,-0.084615,-0.130320
84398,31/12/2008,SPY,SPDR TRUST,78462F10,,90.24000,0.009650,1051568,0.022148,0.042176
84398,30/01/2009,SPY,SPDR TRUST,78462F10,,82.83000,-0.082114,1050818,-0.077323,-0.024042
84398,27/02/2009,SPY,SPDR TRUST,78462F10,,73.93000,-0.107449,840358,-0.100214,-0.107667
84398,31/03/2009,SPY,SPDR TRUST,78462F10,,79.52000,0.083206,758260,0.086690,0.107474
84398,30/04/2009,SPY,SPDR TRUST,78462F10,,87.42000,0.099346,692710,0.109359,0.192762
84398,29/05/2009,SPY,SPDR TRUST,78462F10,,92.53000,0.058453,704790,0.067788,0.102330
84398,30/06/2009,SPY,SPDR TRUST,78462F10,,91.95000,-0.000668,696740,-0.003098,0.023921
84398,31/07/2009,SPY,SPDR TRUST,78462F10,,98.81000,0.074606,678640,0.081719,0.085217
84398,31/08/2009,SPY,SPDR TRUST,78462F10,,102.46000,0.036940,715660,0.031459,0.056864
84398,30/09/2009,SPY,SPDR TRUST,78462F10,,105.59000,0.035510,663310,0.045222,0.071255
84398,30/10/2009,SPY,SPDR TRUST,78462F10,,103.56000,-0.019225,647910,-0.027993,-0.050612
84398,30/11/2009,SPY,SPDR TRUST,78462F10,,109.94000,0.061607,657830,0.057098,0.028476
84398,31/12/2009,SPY,SPDR TRUST,78462F10,,111.44000,0.019012,761530,0.028419,0.055001
84398,29/01/2010,SPY,SPDR S & P 500 E T F TRUST,78462F10,,107.39000,-0.036342,612980,-0.037096,-0.011388
84398,26/02/2010,SPY,SPDR S & P 500 E T F TRUST,78462F10,,110.74000,0.031195,667530,0.034774,0.033603
84398,31/03/2010,SPY,SPDR S & P 500 E T F TRUST,78462F10,,117.00000,0.060867,684830,0.063606,0.069289
84398,30/04/2010,SPY,SPDR S & P 500 E T F TRUST,78462F10,,118.81250,0.015491,606730,0.020043,0.057843
84398,28/05/2010,SPY,SPDR S & P 500 E T F TRUST,78462F10,,109.36900,-0.079482,613730,-0.079136,-0.076929
84398,30/06/2010,SPY,SPDR S & P 500 E T F TRUST,78462F10,,103.22000,-0.051365,703580,-0.050725,-0.056799
84398,30/07/2010,SPY,SPDR S & P 500 E T F TRUST,78462F10,,110.27000,0.068301,662230,0.070292,0.059940
84398,31/08/2010,SPY,SPDR S & P 500 E T F TRUST,78462F10,,105.31000,-0.044980,619680,-0.042813,-0.047566
